Rank,BiomeCode,BiomeName,Mahogany,Barauna,Kingwood,Ironbark,Oak,Purple Heartwood,Ironwood,Silver Maple,Walnut,Teak,Ebony,Paper Birch,Tallowood,Orangewood,Makore,Beech,Ash,Cherry,Bamboo,Cypress,Sycamore,Chestnut,Poplar,Unobtainium,Adamantine,Jade,Moonstone,Coal,Gypsum,Pyrite,Sandstone,Granite,Basalt,Turquoise,Feldspar,Limestone,Marble,Calcite,Cinnabar,Mythril,Gold,Obsidian,Platinum,Uranium,Silver,Lead,Magnetite,Iron,Titanium,Iridium,Copper,Nickel,Glass,Zinc,Saffron,Snakewood,Spices,Hemlock,Pearwood,Cinnamon,Mesquite,Rosewood,Blackwood,Black Pepper,Diamond,Sapphire,Ruby,Emerald,Petrified Wood,Amber,Topaz,Quartz,Amethyst,Opal,Garnet,Aquamarine,Peridot,Truffletainium,Necrotium,Deathcap,Redcap,Mycoite,Fragile Dapperling,Barkshroom,Mycolumin,Tinder Fungus,Stonecilium,Portobello,Brain,Gland,Organ,Feather,Claw,Carapace,Horn,Leather,Eggs,Tooth,Bone,Hide
1,M,mountain,.0390,.0469,.0315,.0579,.0403,.0492,.0561,.0342,.0380,.0390,.0309,.0435,.0529,.0527,.0460,.0682,.0477,.0753,.0603,.0470,.0388,.0689,.0479,.0402,.0245,.0333,.0642,.0095,.0290,.0271,.0892,.0384,.0060,.0460,.0582,.0085,.0333,.0090,.0167,.0088,.0000,.1320,.0362,.0181,.0176,.0000,.0542,.0542,.0813,.0181,.1121,.0448,.0542,.0785,.0619,.0280,.0322,.0552,.0583,.0731,.0600,.0427,.0438,.0452,.0095,.0407,.0312,.0953,.0438,.0551,.0241,.0931,.0622,.0942,.0622,.0672,.0383,.0623,.0285,.0434,.0265,.0520,.0442,.0484,.0551,.0503,.0333,.0500,.0527,.0519,.0502,.0515,.0479,.0474,.0507,.0514,.0525,.0527,.0530,.0525
2,DM,dry mountain,.0384,.0166,.0161,.0434,.0252,.0141,.0542,.0161,.0242,.0384,.0242,.0316,.0395,.0433,.0259,.0728,.0158,.0778,.0638,.0250,.0208,.0278,.0274,.0010,.0445,.0309,.0365,.0000,.0242,.0371,.1097,.0410,.0066,.0188,.0479,.0138,.0309,.0069,.0663,.0880,.0091,.1761,.1812,.0091,.0000,.0018,.0651,.0651,.0434,.0091,.0011,.0280,.1097,.0146,.0725,.0303,.0590,.0201,.0697,.0815,.0509,.0286,.0244,.0534,.0000,.0262,.0140,.0078,.0286,.0400,.0253,.1429,.0785,.0754,.0785,.0801,.0400,.0545,.0064,.0040,.0020,.0456,.0120,.0340,.0490,.0590,.0323,.0490,.0344,.0365,.0408,.0391,.0395,.0332,.0359,.0382,.0357,.0344,.0483,.0353
3,WM,wet mountain,.1014,.0873,.1446,.1009,.1300,.1005,.0613,.1253,.1199,.1014,.0699,.1068,.0858,.1100,.1024,.0905,.0917,.1057,.0986,.1029,.1219,.0872,.0910,.0754,.1037,.0881,.0526,.1901,.1160,.0788,.0838,.0476,.0543,.0836,.0665,.1097,.0881,.1499,.1179,.1320,.1359,.0880,.0906,.0181,.1320,.0091,.0217,.0217,.1085,.0181,.0448,.1121,.0549,.0785,.1077,.1242,.1247,.1013,.0709,.0861,.0894,.1009,.0854,.0956,.1901,.1222,.1221,.0617,.1085,.0989,.0163,.0714,.0968,.0666,.0968,.0696,.1298,.1026,.0594,.0240,.1071,.0425,.1240,.1016,.0962,.1211,.0941,.0986,.0987,.0982,.0973,.0973,.0938,.0974,.0965,.0973,.0982,.0987,.0973,.0982
4,PM,peak mountain,.0619,.0305,.0148,.0122,.0139,.0154,.0115,.0114,.0222,.0619,.0242,.0316,.0158,.0112,.0123,.0094,.0254,.0082,.0092,.0203,.0102,.0147,.0262,.0503,.1132,.0242,.0129,.0190,.0410,.0145,.0108,.0081,.0060,.0164,.0109,.0376,.0242,.0283,.1446,.1761,.0181,.0000,.0000,.0000,.0088,.0000,.0108,.0108,.0217,.0000,.0280,.0011,.0108,.0146,.0096,.0640,.0115,.0142,.0062,.0080,.0098,.0214,.0218,.0112,.0190,.0199,.0050,.0213,.0298,.0148,.0036,.0054,.0052,.0134,.0052,.0066,.0128,.0137,.0058,.0093,.0142,.0108,.0163,.0206,.0125,.0150,.0351,.0178,.0122,.0137,.0167,.0141,.0162,.0188,.0134,.0139,.0124,.0122,.0146,.0123
5,F,forest,.0356,.0359,.0354,.0444,.0384,.0240,.0331,.0354,.0398,.0356,.0415,.0487,.0454,.0432,.0431,.0411,.0319,.0364,.0381,.0410,.0419,.0431,.0336,.0010,.0005,.0123,.0249,.0000,.0132,.0108,.0163,.0258,.0181,.0068,.0199,.0047,.0123,.0023,.0003,.0000,.0000,.0000,.0000,.0362,.0000,.0181,.0300,.0217,.0325,.0604,.0056,.0392,.0163,.0224,.0236,.0179,.0189,.0302,.0295,.0235,.0385,.0398,.0494,.0194,.0000,.0163,.0196,.0140,.0378,.0399,.0253,.0081,.0139,.0111,.0139,.0145,.0072,.0181,.0252,.0280,.0140,.0362,.0125,.0385,.0170,.0156,.0106,.0291,.0604,.0500,.0293,.0427,.0286,.0343,.0497,.0447,.0567,.0604,.0243,.0577
6,TF,tundra forest,.0343,.0422,.0316,.0370,.0334,.0273,.0185,.0282,.0296,.0343,.0715,.0360,.0371,.0308,.0442,.0284,.0372,.0264,.0255,.0381,.0277,.0415,.0374,.0402,.0245,.0430,.0388,.0190,.0130,.0009,.0208,.0496,.0465,.0167,.0406,.0453,.0430,.0322,.0167,.0088,.0018,.0018,.0018,.0018,.0088,.1359,.0217,.0000,.0542,.0604,.0561,.0056,.0063,.0308,.0159,.0280,.0165,.0307,.0249,.0166,.0291,.0359,.0526,.0286,.0190,.0280,.0072,.0434,.0363,.0340,.0459,.0040,.0056,.0237,.0056,.0170,.0180,.0297,.0590,.0841,.0516,.0341,.0244,.0347,.0221,.0192,.0307,.0279,.0408,.0374,.0307,.0350,.0337,.0360,.0389,.0359,.0396,.0408,.0255,.0400
7,RF,rain forest,.1126,.1139,.1113,.1309,.1179,.0621,.0709,.1113,.1129,.1126,.1118,.1494,.1321,.1278,.1218,.1195,.0966,.1135,.1130,.1318,.1132,.1216,.1023,.0050,.0025,.0130,.0232,.0000,.0046,.0100,.0394,.0318,.0060,.0078,.0231,.0029,.0130,.0014,.0013,.0000,.0091,.0000,.0091,.0091,.0000,.0000,.0150,.0108,.1085,.0604,.0112,.0112,.0098,.0112,.0772,.0569,.0636,.0746,.0599,.0492,.1016,.1153,.1494,.0434,.0000,.0588,.0056,.0112,.1172,.1176,.0066,.0049,.0053,.0081,.0053,.0060,.0030,.0392,.0179,.0239,.0119,.0487,.0189,.1135,.0269,.0395,.0116,.0791,.1858,.1489,.0750,.1220,.0695,.0933,.1461,.1293,.1723,.1858,.0568,.1760
8,DF,dead forest,.0604,.0397,.0419,.0629,.0489,.0644,.0369,.0975,.0760,.0604,.1053,.0703,.0579,.0582,.0616,.0516,.0479,.0417,.0631,.0489,.0868,.0649,.0446,.0050,.0465,.0642,.0507,.0095,.1116,.0054,.0334,.0712,.0621,.0565,.0692,.0593,.0642,.0344,.0673,.0880,.0000,.0018,.0000,.0050,.1761,.1812,.0108,.0108,.0651,.0362,.0392,.1121,.0334,.0757,.0254,.0442,.0218,.0771,.0596,.0582,.0673,.0705,.0731,.0455,.0095,.0325,.1441,.0575,.0513,.0570,.0657,.0176,.0808,.0375,.0808,.0565,.0330,.0515,.1173,.0855,.0475,.0307,.0609,.0605,.0557,.0292,.0507,.0543,.0703,.0662,.0581,.0633,.0577,.0603,.0660,.0641,.0688,.0703,.0559,.0692
9,P,plains,.0712,.0853,.0826,.0600,.0751,.0694,.0517,.0656,.0701,.0712,.0471,.0705,.0674,.0691,.0680,.0571,.0800,.0631,.0590,.0648,.0676,.0761,.0768,.1005,.0723,.0513,.0658,.0951,.0574,.0443,.0383,.0290,.0302,.0612,.0495,.0532,.0513,.0741,.0581,.0440,.0453,.0440,.0181,.0453,.0440,.0000,.0435,.0434,.0325,.0453,.1121,.0561,.0383,.0841,.0532,.0774,.0564,.0643,.0466,.0544,.0589,.0650,.0676,.0529,.0951,.0389,.0500,.0981,.0748,.0681,.0296,.0411,.0456,.0696,.0456,.0463,.0707,.0498,.0433,.0525,.0738,.0412,.0705,.0682,.0595,.0681,.0582,.0597,.0683,.0664,.0626,.0642,.0600,.0653,.0651,.0647,.0672,.0683,.0600,.0674
10,LP,lush plains,.0575,.0582,.0481,.0759,.0574,.0679,.0488,.0487,.0566,.0575,.0512,.0701,.0688,.0650,.0639,.0708,.0614,.0571,.0617,.0846,.0577,.0761,.0578,.0201,.0189,.0356,.0559,.0000,.0256,.0561,.0630,.0655,.0604,.0425,.0439,.0274,.0356,.0137,.0182,.0176,.0906,.0176,.0091,.0906,.0018,.0000,.1000,.0217,.1085,.0604,.0561,.0561,.0630,.0561,.0681,.0335,.0528,.0702,.0521,.0508,.0673,.0606,.0685,.0484,.0000,.0995,.0289,.0561,.0599,.0659,.0374,.0403,.0346,.0482,.0346,.0390,.0195,.0557,.0296,.0388,.0194,.0726,.0461,.0619,.0434,.0341,.0364,.0572,.0858,.0753,.0545,.0683,.0539,.0576,.0751,.0703,.0823,.0858,.0514,.0833
